pid,event_id,dt,ts,duration_in_sec,store_id,floor_id,pair_id,pid_dt,store_name,type_by_brand,store_name_eng,pid_count,pid_id,q1,q2,q3,bucket,store_duration
ch05016_20230101172200-00500617,6,2023-01-01,1672566066,,zhdc-foshan-hyc-L211-N,L2,1,1197140,tutuanna,零售,Tutuanna,2,3628363,58.0,144.0,372.0,Q4,Tutuanna_Q4
tmpPID_zhdc_foshan_hyc_cluster_21793,6,2023-07-09,1688876229,47.0,zhdc-foshan-hyc-B135-B136-N,B1,14,2786927,九木杂物社,零售,Nine wood ,37,4116533,58.0,144.0,372.0,Q1,Nine wood _Q1
ZHDC_foshan_hyc_20230801_clusterid_1118,7,2023-08-01,1690877359,52.0,zhdc-foshan-hyc-L203-L204-N,L2,27,1341132,达衣岩,零售,Da yiyan,23,3018394,58.0,144.0,372.0,Q1,Da yiyan_Q1
ch10003_20230215194500-00444250,7,2023-02-15,,,zhdc-foshan-hyc-L514-L515-N,L5,1,1318283,大河上下,餐饮,Daheshangxia,2,3753626,59.0,406.0,2865.0,Q4,Daheshangxia_Q4
tmpPID_zhdc_foshan_hyc_cluster_14114,6,2023-03-07,1678182868,,zhdc-foshan-hyc-L135-1-N,L1,9,2278453,耐克Nike 750,零售,Nike 750,29,4108014,58.0,144.0,372.0,Q4,Nike 750_Q4
ZHDC_foshan_hyc_20230414_clusterid_17714,6,2023-04-14,1681456907,5927.0,zhdc-foshan-hyc-L501-N,L5,13,796968,百老汇,主力店,Broadway,4,1375104,131.0,634.0,1537.0,Q4,Broadway_Q4
ZHDC_foshan_hyc_20230302_clusterid_1267,6,2023-03-02,,,zhdc-foshan-hyc-B110-N,B1,1,15754,沃尔玛,主力店,Walmart,3,820560,131.0,634.0,1537.0,Q4,Walmart_Q4
ZHDC_foshan_hyc_20230629_clusterid_1576,6,2023-06-29,1688040500,1425.0,zhdc-foshan-hyc-B110-N,B1,8,578794,沃尔玛,主力店,Walmart,2,2453485,131.0,634.0,1537.0,Q3,Walmart_Q3
ZHDC_foshan_hyc_20230104_clusterid_15667,6,2023-01-04,1672837771,673.0,zhdc-foshan-hyc-B102-N,B1,23,64563,苏阁鲜茶,餐饮,Suge tea,4,45576,59.0,406.0,2865.0,Q3,Suge tea_Q3
tmpPID_zhdc_foshan_hyc_cluster_2479,6,2023-07-15,1689395538,,zhdc-foshan-hyc-L135-2-N,L1,37,2800219,周生生,零售,Chow sang sang,88,4119848,58.0,144.0,372.0,Q4,Chow sang sang_Q4
ZHDC_foshan_hyc_20230115_clusterid_29443,7,2023-01-15,1673782084,29.0,zhdc-foshan-hyc-L424-N,L4,18,273451,探鱼,餐饮,Tanyu,9,195841,59.0,406.0,2865.0,Q1,Tanyu_Q1
ZHDC_foshan_hyc_20230703_clusterid_5678,6,2023-07-03,1688368650,55.0,zhdc-foshan-hyc-L305-N,L3,17,680827,Kappa,零售,Kappa,4,2529424,58.0,144.0,372.0,Q1,Kappa_Q1
ZHDC_foshan_hyc_20230503_clusterid_9692,7,2023-05-03,1683103187,1547.0,zhdc-foshan-hyc-L213-N,L2,16,1203640,H+3,零售,H+3,8,1668417,58.0,144.0,372.0,Q4,H+3_Q4
ZHDC_foshan_hyc_20230801_clusterid_4518,6,2023-08-01,1690894370,529.0,zhdc-foshan-hyc-L313-N,L3,38,1355628,英氏,儿童,Yingshi,10,3028828,68.0,229.0,917.0,Q3,Yingshi_Q3
ZHDC_foshan_hyc_20230616_clusterid_21491,6,2023-06-16,1686924865,60.0,zhdc-foshan-hyc-L310-N,L3,88,308769,ASICS KIDS,儿童,Asics kids,8,2254080,68.0,229.0,917.0,Q1,Asics kids_Q1
ZHDC_foshan_hyc_20230215_clusterid_7998,7,2023-02-15,1676430054,91.0,zhdc-foshan-hyc-B138-N,B1,8,890939,卡百利,零售,Calbee,12,644859,58.0,144.0,372.0,Q2,Calbee_Q2
ZHDC_foshan_hyc_20230828_clusterid_3199,7,2023-08-28,1693200399,2782.0,zhdc-foshan-hyc-B139-N,B1,13,1981834,池奈.日式咖喱蛋包饭,餐饮,Ichina japanese curry,6,3491602,59.0,406.0,2865.0,Q3,Ichina japanese curry_Q3
ZHDC_foshan_hyc_20230829_clusterid_16382,6,2023-08-29,1693292507,180.0,zhdc-foshan-hyc-B155-N,B1,25,1992855,五洲会全球购,零售,Wuzhouhui shopping,12,3499175,58.0,144.0,372.0,Q3,Wuzhouhui shopping_Q3
